departamento,nivel,oficio,inscritos,vacantes_estimadas
NACIONAL,Calificados,Acompañantes Domiciliarios,144,14.4
NACIONAL,Calificados,Agentes de Viajes,418,41.800000000000004
NACIONAL,Calificados,Ajustadores de Máquinas y Herramientas,187,18.7
NACIONAL,Calificados,"Analistas de Calidad, Textiles",94,9.4
NACIONAL,Calificados,Aparejadores,17,1.7000000000000002
NACIONAL,Calificados,Asistentes en Saneamiento Ambiental,68,6.800000000000001
NACIONAL,Calificados,"Astrólogos, Adivinadores y Relacionados",0,0.0
NACIONAL,Calificados,Auxiliares Administrativos,7803,780.3000000000001
NACIONAL,Calificados,"Auxiliares Contables, de Tesorería y Financieros",2992,299.2
NACIONAL,Calificados,Auxiliares administrativos en Salud,512,51.2
NACIONAL,Calificados,Auxiliares de Almacén,4365,436.5
NACIONAL,Calificados,Auxiliares de Archivo y Registro,1876,187.60000000000002
NACIONAL,Calificados,Auxiliares de Biblioteca,23,2.3000000000000003
NACIONAL,Calificados,Auxiliares de Cartera y Cobranzas,178,17.8
NACIONAL,Calificados,Auxiliares de Compras e Inventarios,290,29.0
NACIONAL,Calificados,Auxiliares de Correo y Servicio Postal,5,0.5
NACIONAL,Calificados,Auxiliares de Droguería y Farmacia,537,53.7
NACIONAL,Calificados,Auxiliares de Estadística y Encuestadores,86,8.6
NACIONAL,Calificados,Auxiliares de Información y Servicio al Cliente,31362,3136.2000000000003
NACIONAL,Calificados,Auxiliares de Laboratorio,156,15.600000000000001
NACIONAL,Calificados,Auxiliares de Laboratorio Clínico,44,4.4
NACIONAL,Calificados,Auxiliares de Nómina y Prestaciones,153,15.3
NACIONAL,Calificados,Auxiliares de Producción Gráfica,520,52.0
NACIONAL,Calificados,Auxiliares de Producción de Audio y Sonido,80,8.0
NACIONAL,Calificados,Auxiliares de Producción de Eventos y Espectáculos,103,10.3
NACIONAL,Calificados,Auxiliares de Promoción Artística,42,4.2
NACIONAL,Calificados,Auxiliares de Publicación y Afines,9,0.9
NACIONAL,Calificados,Auxiliares de Salud oral,271,27.1
NACIONAL,Calificados,Auxiliares de Seguridad en el Trabajo,343,34.300000000000004
NACIONAL,Calificados,Auxiliares de Servicios Funerarios,10,1.0
NACIONAL,Calificados,Auxiliares de Talento Humano,1566,156.60000000000002
NACIONAL,Calificados,Auxiliares de Tribunales,8,0.8
NACIONAL,Calificados,Auxiliares de aduana,259,25.900000000000002
NACIONAL,Calificados,Auxiliares de educación para la primera infancia,1190,119.0
NACIONAL,Calificados,Auxiliares de policía,241,24.1
NACIONAL,Calificados,Auxiliares de servicios financieros,219,21.900000000000002
NACIONAL,Calificados,Auxiliares del Cuidado de Niños,241,24.1
NACIONAL,Calificados,Auxiliares en Automatización e Instrumentación Industrial,266,26.6
NACIONAL,Calificados,Auxiliares en Enfermería,2151,215.10000000000002
NACIONAL,Calificados,Auxiliares en Salud pública,189,18.900000000000002
NACIONAL,Calificados,Auxiliares en mecánica dental,11,1.1
NACIONAL,Calificados,"Auxiliares técnicos de instalación, mantenimiento y reparación de sistemas de Telecomunicaciones",224,22.400000000000002
NACIONAL,Calificados,Auxiliares técnicos en electrónica,812,81.2
NACIONAL,Calificados,Avaluadores,1,0.1
NACIONAL,Calificados,Ayudantes Electricistas,802,80.2
NACIONAL,Calificados,Ayudantes de Mecánica,601,60.1
NACIONAL,Calificados,Baristas,20,2.0
NACIONAL,Calificados,Bartender,29,2.9000000000000004
NACIONAL,Calificados,Bomberos,25,2.5
NACIONAL,Calificados,Buzos,2,0.2
NACIONAL,Calificados,Cajeros de Comercio,2746,274.6
NACIONAL,Calificados,Cajeros de Servicios Financieros,536,53.6
NACIONAL,Calificados,Carpinteros,227,22.700000000000003
NACIONAL,Calificados,Carteros y Mensajeros,372,37.2
NACIONAL,Calificados,Cerrajeros y afines,4,0.4
NACIONAL,Calificados,"Chapistas, Caldereros y Paileros",23,2.3000000000000003
NACIONAL,Calificados,Cocineros,524,52.400000000000006
NACIONAL,Calificados,"Conductores de Bus, Operadores de Metro y Otros Medios de Transporte Colectivo",543,54.300000000000004
NACIONAL,Calificados,Conductores de Transporte de Alimentos,130,13.0
NACIONAL,Calificados,Conductores de Vehículos Livianos,1113,111.30000000000001
NACIONAL,Calificados,Conductores de Vehículos Pesados,717,71.7
NACIONAL,Calificados,Cortadores de Carne para Comercio Mayorista y al Detal,272,27.200000000000003
NACIONAL,Calificados,"Cortadores de Tela, Cuero y Piel",925,92.5
NACIONAL,Calificados,Cosmetólogos Esteticistas,128,12.8
NACIONAL,Calificados,Digitadores,974,97.4
NACIONAL,Calificados,Digitalizadores,15,1.5
NACIONAL,Calificados,Ebanistas,69,6.9
NACIONAL,Calificados,Ejecutantes Musicales,25,2.5
NACIONAL,Calificados,Electricistas Industriales,242,24.200000000000003
NACIONAL,Calificados,Electricistas Residenciales,408,40.800000000000004
NACIONAL,Calificados,Electricistas de Vehículos Automotores,91,9.1
NACIONAL,Calificados,Empleados de Recepción Hotelera,108,10.8
NACIONAL,Calificados,"Empleados de Ventas y Servicios de Líneas Aéreas, Marítimas y Terrestres",193,19.3
NACIONAL,Calificados,Enchapadores,21,2.1
NACIONAL,Calificados,Ensambladores de Productos Plásticos e Inspectores,39,3.9000000000000004
NACIONAL,Calificados,Ensambladores de productos Electrónicos,36,3.6
NACIONAL,Calificados,Ensambladores e Inspectores de Aparatos y Equipo Eléctrico,52,5.2
NACIONAL,Calificados,Ensambladores e Inspectores de Embarcaciones,0,0.0
NACIONAL,Calificados,Ensambladores e Inspectores de Ensamble de Aeronaves,2,0.2
NACIONAL,Calificados,Ensambladores e Inspectores de Muebles y Accesorios,22,2.2
NACIONAL,Calificados,Ensambladores e Inspectores de Productos Mecánicos,50,5.0
NACIONAL,Calificados,Ensambladores e Inspectores de Vehículos Automotores,30,3.0
NACIONAL,Calificados,"Ensambladores, Fabricantes e Inspectores de Transformadores y Motores Eléctricos Industriales",44,4.4
NACIONAL,Calificados,Funcionarios de Regulación,42,4.2
NACIONAL,Calificados,Guardafrenos y Otros Operadores Ferroviarios,3,0.30000000000000004
NACIONAL,Calificados,Guardianes de Prisión,12,1.2000000000000002
NACIONAL,Calificados,Informadores Turísticos,123,12.3
NACIONAL,Calificados,Inspectores de Construcción de Oleoductos y Gasoductos,5,0.5
NACIONAL,Calificados,"Inspectores de Control de Calidad, Fabricación de Productos de Tela, Piel y Cuero",236,23.6
NACIONAL,Calificados,"Inspectores de Control de Calidad, Procesamiento de la Madera",2,0.2
NACIONAL,Calificados,"Inspectores de Control de Calidad, Tratamiento de Metales y Minerales",1,0.1
NACIONAL,Calificados,Inspectores de Policía,2,0.2
NACIONAL,Calificados,Instaladores Residenciales y Comerciales,806,80.60000000000001
NACIONAL,Calificados,Instaladores de Material Aislante,30,3.0
NACIONAL,Calificados,Instaladores de Pisos,2,0.2
NACIONAL,Calificados,Instaladores de Redes de Energía Eléctrica,178,17.8
NACIONAL,Calificados,Instaladores de Redes y Equipos a Gas,162,16.2
NACIONAL,Calificados,Instaladores de Tuberías para Sistemas de Extinción de Incendios,15,1.5
NACIONAL,Calificados,Joyeros y Relojeros,64,6.4
NACIONAL,Calificados,Latoneros,56,5.6000000000000005
