anio,mes,fecha,tasa_desocupacion,tasa_ocupacion,tasa_global_participacion,fuente_archivo,variacion_anual_td
2023,5,2023-05-01,10.5,57.2,63.9,bol-GEIH-may2023.pdf,
2023,6,2023-06-01,9.3,58.3,64.3,bol-GEIH-jun2023.pdf,
2023,7,2023-07-01,9.6,58.6,64.8,bol-GEIH-jul2023.pdf,
2023,8,2023-08-01,9.3,58.5,64.4,bol-GEIH-ago2023.pdf,
2023,9,2023-09-01,9.3,58.3,64.2,bol-GEIH-sep2023.pdf,
2023,10,2023-10-01,9.2,58.1,64.0,bol-GEIH-oct2023.pdf,
2023,11,2023-11-01,9.0,58.3,64.1,bol-GEIH-nov2023.pdf,
2023,12,2023-12-01,10.0,57.4,63.8,bol-GEIH-dic2023.pdf,
2024,1,2024-01-01,12.7,55.3,63.3,bol-GEIH-ene2024.pdf,
2024,2,2024-02-01,11.7,56.4,63.8,bol-GEIH-feb2024.pdf,
2024,3,2024-03-01,11.3,56.7,63.9,bol-GEIH-mar2024.pdf,
2024,4,2024-04-01,10.6,57.2,64.0,bol-GEIH-abr2024.pdf,
2024,5,2024-05-01,10.3,57.5,64.1,bol-GEIH-may2024.pdf,-0.2
2024,6,2024-06-01,10.3,57.2,63.7,bol-GEIH-jun2024.pdf,1.0
2024,7,2024-07-01,9.9,57.8,64.2,bol-GEIH-jul2024.pdf,0.3
2024,8,2024-08-01,9.7,58.3,64.5,bol-GEIH-ago2024.pdf,0.4
2024,9,2024-09-01,9.1,57.7,63.5,bol-GEIH-sep2024.pdf,-0.2
2024,10,2024-10-01,9.1,58.1,63.9,bol-GEIH-oct2024.pdf,-0.1
2024,11,2024-11-01,8.2,58.5,63.7,bol-GEIH-nov2024.pdf,-0.8
2024,12,2024-12-01,9.1,58.5,64.4,bol-GEIH-dic2024.pdf,-0.9
2025,1,2025-01-01,11.6,56.7,64.1,bol-GEIH-ene2025.pdf,-1.1
2025,2,2025-02-01,10.3,58.0,64.7,bol-GEIH-feb2025.pdf,-1.4
2025,3,2025-03-01,9.6,58.5,64.7,bol-GEIH-mar2025.pdf,-1.7
2025,4,2025-04-01,8.8,58.1,63.7,bol-GEIH-abr2025.pdf,-1.8
2025,5,2025-05-01,9.0,58.2,64.0,bol-GEIH-may2025.pdf,-1.3
2025,6,2025-06-01,8.6,58.4,63.9,bol-GEIH-jun2025.pdf,-1.7
2025,7,2025-07-01,8.8,58.9,64.6,bol-GEIH-jul2025.pdf,-1.1
2025,8,2025-08-01,8.6,58.4,63.9,bol-GEIH-ago2025.pdf,-1.1
2025,9,2025-09-01,8.2,58.7,63.9,bol-GEIH-sep2025.pdf,-0.9
2025,10,2025-10-01,8.2,59.7,65.0,bol-GEIH-oct2025.pdf,-0.9
2025,11,2025-11-01,7.0,60.2,64.7,bol-GEIH-nov2025.pdf,-1.2
2025,12,2025-12-01,8.0,59.2,64.3,bol-GEIH-dic2025.pdf,-1.1
2026,1,2026-01-01,10.9,56.7,63.6,bol-GEIH-ene2026.pdf,-0.7
2026,2,2026-02-01,9.2,58.7,64.7,bol-GEIH-feb2026.pdf,-1.1
